ID,bw,SEX,al,bl,cl,ch
SS1397,55.0,1.0,122.7,210.11,60.86,37.5
SS1398,48.1,1.0,109.21,196.44,58.08,38.67
SS1399,51.3,,116.03,206.87,62.39,36.27
SS139,57.0,1.0,119.8,198.07,49.82,34.76
SS13,59.9,1.0,116.84,208.02,62.39,47.79
SS1400,53.4,0.0,121.62,210.59,62.28,38.17
SS1401,45.9,1.0,111.67,198.06,56.52,31.45
SS1402,69.3,0.0,126.59,,,39.37
SS1403,58.1,1.0,120.18,,60.39,36.31
SS1404,49.0,1.0,121.61,199.42,50.98,32.97
SS1405,74.9,1.0,111.84,,55.44,31.45
SS1406,61.3,0.0,138.81,226.69,58.48,
SS1407,39.5,1.0,110.74,,46.79,32.01
SS1408,50.2,1.0,116.92,206.49,60.97,
SS1409,56.4,,124.04,,,38.83
SS140,50.1,,115.61,197.01,,30.54
SS1410,45.8,1.0,114.26,195.43,,33.75
SS1411,55.0,0.0,125.79,213.37,58.66,34.89
SS1412,49.9,1.0,111.8,199.62,58.5,35.66
SS1413,66.4,0.0,,,66.04,34.11
SS1414,,,118.68,203.28,59.17,32.64
SS1415,,,110.31,198.42,62.52,
SS1416,45.1,,,,56.4,30.92
SS1417,54.1,0.0,,207.27,60.31,35.46
SS1418,53.9,1.0,119.81,210.24,60.34,37.05
SS1419,,0.0,,204.2,62.31,33.93
SS141,57.6,1.0,,211.86,58.34,35.44
SS1420,45.2,1.0,116.94,195.55,53.58,32.24
SS1421,51.9,1.0,121.4,,,34.11
SS1422,45.8,1.0,,200.2,57.91,27.73
SS1423,,1.0,108.33,190.04,56.35,
SS1424,43.5,1.0,115.99,194.79,53.22,
SS1425,53.8,1.0,119.69,,58.17,34.21
SS1426,,1.0,101.76,,49.94,34.41
SS1427,,1.0,,,,
SS1428,46.0,1.0,116.25,,53.23,33.82
SS1429,43.7,1.0,,197.38,56.39,33.82
SS142,60.0,1.0,119.35,212.61,59.16,
SS1430,51.0,0.0,112.6,193.1,,37.36
SS1431,45.5,,120.62,,52.97,34.05
SS1432,45.8,1.0,118.07,,50.09,34.61
SS1433,,1.0,,,,32.05
SS1434,54.0,0.0,122.13,207.37,59.6,33.95
SS1435,45.7,1.0,115.87,194.43,52.9,34.05
SS1436,59.1,0.0,116.95,209.75,,33.44
SS1437,51.9,1.0,128.43,215.19,61.48,33.78
SS1438,50.3,1.0,112.57,201.98,65.72,
SS1439,49.3,0.0,,195.4,53.12,34.79
SS143,48.4,1.0,118.35,195.66,48.22,31.03
SS1440,45.0,,112.25,194.32,56.05,31.33
SS1441,48.5,1.0,,205.95,57.86,
SS1442,,0.0,,,63.52,
SS1443,59.4,0.0,122.38,212.3,63.58,36.92
SS1444,59.6,1.0,123.75,224.23,,
SS1445,,1.0,109.44,196.35,60.77,37.73
SS1446,42.3,1.0,109.95,193.38,57.45,32.97
SS1447,40.0,,109.31,191.56,56.32,31.34
SS1448,52.8,,121.75,205.96,59.91,
SS1449,65.5,0.0,129.08,221.34,62.3,34.8
SS144,60.8,,118.42,212.13,,36.41
SS1450,48.0,1.0,,199.02,,37.07
SS1451,43.8,1.0,110.26,,,36.2
SS1452,57.3,1.0,124.09,219.67,65.79,39.54
SS1453,,1.0,112.33,,53.87,
SS1454,,1.0,112.59,193.63,54.26,29.13
SS1455,,1.0,,,56.82,
SS1456,41.8,1.0,101.85,,54.99,34.0
SS1457,48.3,,118.36,197.48,54.0,33.27
SS1458,,1.0,121.38,210.32,,32.93
SS1459,43.8,1.0,110.04,,53.87,32.1
SS145,44.9,,106.28,180.62,47.94,
SS1460,48.8,1.0,110.39,197.07,59.28,
SS1461,43.2,1.0,104.5,184.86,54.15,34.95
SS1462,39.0,1.0,108.95,189.19,53.53,30.1
SS1463,,1.0,109.85,188.75,53.98,31.75
