ID,bw,SEX,al,bl,cl,ch
SS1537,53.7,0,119.61,206.72,58.72,35.25
SS1538,42.9,0,112.74,187.86,52.08,30.6
SS1539,53.9,1,114.73,212.51,68.22,38.74
SS153,,1,,,,
SS1540,43.4,1,113.19,194.93,54.84,32.97
SS1541,43.2,0,108.67,193.63,58.06,33.47
SS1542,41,1,110.54,192.29,54.25,30.52
SS1543,61.3,0,132.35,218.01,58.45,37.22
SS1544,41.9,0,109.66,186.15,54.04,32.9
SS1545,46.8,1,116.54,198.1,55.13,30.92
SS1546,46.4,1,112.65,200.07,59.76,36.32
SS1547,35,1,114.44,188.28,46.8,30.92
SS1548,55.1,0,107.67,207.01,73.78,44.32
SS1549,39.7,1,105.77,185.91,55.13,31.28
SS154,,1,,,,
SS1550,52.8,1,115.87,199.38,58.9,32.43
SS1551,49.6,0,112.26,186.72,46.97,35.42
SS1552,57.1,0,134.16,227.74,64.99,34
SS1553,43.4,1,115.75,195.47,55.62,30.49
SS1554,53.3,1,117.98,205.98,59.9,34.41
SS1555,57.3,0,118.97,200.81,51.03,33.69
SS1556,65.1,0,129.18,225.61,67.62,36.57
SS1557,56.2,1,124.74,212.18,61.29,36.47
SS1558,60.9,0,122.88,213.78,65.32,37.05
SS1559,49.7,1,119.69,199.86,54.53,33.82
SS155,55.8,1,102.52,200.59,68.28,35.58
SS1560,41.6,1,110.85,190.57,54.58,32.02
SS1562,49.6,0,117.77,194.81,48.95,32.16
SS1563,49.2,0,116.8,201.67,57.72,33.48
SS1564,64.3,0,124.57,212.28,56.89,35.69
SS1565,43,1,106.58,195.5,61.98,33.95
SS1566,53.5,0,117.92,201.12,57.76,36.13
SS1567,52,0,119.95,205.1,59.43,32.41
SS1568,49.6,1,117.43,195.49,53.46,34.94
SS1569,30.4,1,100.88,167.94,45.98,26.69
SS156,52,1,117.64,198.02,52.45,33.6
SS1570,51.5,0,117.8,196.88,53.78,35.48
SS1571,52.8,0,119.22,202.22,56.81,31.97
SS1572,35.4,1,106.99,178.34,43.07,30.51
SS1573,68.6,0,124.28,223.08,69.3,38.2
SS1574,47.4,0,117.42,192.82,52.23,31.45
SS1575,45.7,1,114.96,190.7,46.82,30.5
SS1576,47.5,1,110.79,200.51,62.15,37.53
SS1577,48.7,1,114.57,195.14,52.92,34.43
SS1578,51.2,0,111.75,198.66,62.03,41.59
SS1579,42.6,0,115.22,185.18,47.07,31.59
SS157,57.5,1,121.47,196.52,50.45,33.71
SS1580,47.7,0,115.74,199.71,56.86,31.17
SS1581,41.1,0,118.62,185.93,41.32,32.15
SS1582,53,1,122.59,211.4,61.16,42.18
SS1583,43.6,1,113.78,194.11,55.29,34.43
SS1584,44.9,1,104.91,191.47,62.98,38.95
SS1585,43,0,108.18,191.26,55.65,29.4
SS1586,65.8,0,134.94,210.82,51.92,38.94
SS1587,72.9,0,131.04,230.23,65.26,39.43
SS1588,33.5,1,101.26,179.15,52.14,29.07
SS1589,51.8,0,119.8,202.92,57.56,33.47
SS158,64.2,1,121.26,208.06,54.64,34.98
SS1590,54.5,0,112.86,198.58,60.24,34.4
SS1591,50.6,0,114.27,202.8,61.85,34.89
SS1592,48,0,114,192.47,53.44,30.74
SS1593,42.4,0,111.96,191.52,54.52,33.14
SS1594,48.4,1,119.89,204.1,59.08,31.51
SS1595,58.3,1,119.59,217.65,68.5,39.2
SS1596,56.4,0,116.41,209.07,65.33,32.87
SS1597,60.2,0,117.37,211.39,66.6,38.83
SS1598,57.6,0,124.49,214.73,59.36,38.35
SS1599,59.8,0,113.48,212.47,70.36,36
SS159,56.7,1,119.69,209.27,56.26,29.81
SS15,54.9,1,130.84,209.43,53.77,36.82
SS1600,44.4,1,112,190.52,55.89,32.16
SS1601,48.4,0,116.99,200.1,54.92,34.34
SS1602,44,1,108.4,193.29,57.3,34.11
SS1603,37.5,1,111.69,185.1,47.03,32.26
SS1604,53.7,1,119.64,211.71,64.57,34.43
SS1605,48,1,123.64,205.34,53.11,33.61
SS1606,44.5,1,116.09,187.69,48.63,31.44
SS1607,48.8,0,118.11,204.76,57.69,34.58
SS1608,37.3,1,107.98,183.69,51.64,27.66
SS1609,45.1,1,118.23,200.67,54.52,34.06
SS160,50.4,1,113.26,196.49,54.41,32.75
SS1610,45.8,1,115.36,198.42,57.31,32.97
SS1611,55.2,1,124.93,213.92,62.08,35.16
SS1612,45.8,1,119.75,205.46,58.26,35.29
SS1613,47.2,1,112.1,196.55,57.83,36.32
SS1614,55.1,1,119.58,209.17,60.95,32.56
SS1615,57.4,1,121.74,211.93,65.54,36.25
SS1616,78,0,139.36,242.45,73.32,38.72
SS1617,42.4,1,114.17,193.6,51.74,34.11
SS1618,48.7,1,108.93,199.63,64.52,38.02
SS1619,42.9,1,113.13,191.72,54,31.13
SS161,56.3,1,118.19,204.5,55.85,32.86
SS1620,52.5,0,119.9,196.73,53.55,34.43
SS1621,43,0,110.35,193.52,58.99,34.5
SS1622,53.1,1,124.7,208.37,60.18,37.65
SS1623,52.4,0,117.24,203.88,59.13,33.09
SS1624,47.2,1,115.29,196.57,57.52,34.11
SS1625,48.7,1,118.1,203.47,60.29,33.93
SS1626,46.4,1,112.7,196.39,56.86,34.68
SS1627,54,0,118.12,203.61,61.06,32.43
SS1628,65.7,0,131.98,224.97,64.79,39.85
SS1629,65.7,0,133.81,223.05,62.27,38.3
SS162,51.3,1,115.9,199.99,54.69,45.94
SS1630,47.4,0,104.9,183.25,52.75,36.2
SS1631,56.5,1,123.91,209.57,58.08,35.01
SS1632,56.7,1,129.7,214.58,57.17,36.32
SS1633,49.4,0,109.98,192.13,54.65,33.61
SS1634,49.6,1,122.47,207.38,56.06,33.27
SS1635,42.7,1,115.34,194.99,54.58,35.52
SS1636,52.4,1,126.63,209.33,56.51,35.46
SS1637,54,0,123.73,208.75,58.64,34.5
SS1638,52.2,1,114.74,200.25,58.76,33.93
SS1639,52.4,1,122.37,204.26,58.39,34.43
SS163,53.7,1,109.22,205.04,64.04,33.68
SS1640,47.8,1,120.05,199.57,56.1,36.31
SS1641,49.2,0,117,206.31,61.16,34.13
SS1642,46.6,1,119.41,203.28,57.61,34.13
SS1643,45.8,1,112.95,195.11,55.38,30.6
SS1644,47.4,0,118.78,195.65,50.51,32.62
SS1645,47.5,1,118.95,202.36,57.26,31.17
